644298_table

termType,rxcui,name,isHumanDrug,isVetDrug,isPrescribable
"BN","644298","Lucentis","US","","Y",
"DF","721656","Prefilled Syringe","US","US","Y",
"DF","1649574","Injection","US","US","Y",
"IN","595060","ranibizumab","US","","Y",
"SBD","1864425","0.05 ML Lucentis 10 MG/ML Prefilled Syringe","US","","Y",
"SBD","1306076","Lucentis 0.3 MG per 0.05 ML Injection","US","","Y",
"SBD","644301","Lucentis 0.5 MG per 0.05 ML Injection","US","","Y",
"SBDC","644299","ranibizumab 10 MG/ML [Lucentis]","US","","Y",
"SBDC","1306075","ranibizumab 6 MG/ML [Lucentis]","US","","Y",
"SBDF","1864424","ranibizumab Prefilled Syringe [Lucentis]","US","","Y",
"SBDF","1724213","ranibizumab Injection [Lucentis]","US","","Y",
"SCD","1864423","0.05 ML ranibizumab 10 MG/ML Prefilled Syringe","US","","Y",
"SCD","1306074","0.05 ML ranibizumab 6 MG/ML Injection","US","","Y",
"SCD","643193","0.05 ML ranibizumab 10 MG/ML Injection","US","","Y",
"SCDC","643191","ranibizumab 10 MG/ML","US","","Y",
"SCDC","1306073","ranibizumab 6 MG/ML","US","","Y",
"SCDF","1864422","ranibizumab Prefilled Syringe","US","","Y",
"SCDF","1724210","ranibizumab Injection","US","","Y",
"SCDG","1157901","ranibizumab Injectable Product","US","","Y",
"SBDG","1180950","Lucentis Injectable Product","US","","Y",
"DFG","1151126","Injectable Product","US","US","Y",
